world,axis,axis_value,axis_label,variant,n,permanence,permanence_ci_lo,permanence_ci_hi,robust,capture,welfare,containment_events,containment_timer_activity
W6_mutation_corridor,adversarial_pressure,0.6,adversarial_pressure=0.60,C_full,80,1.0,0.954180263735425,1.0,True,0.2952212849298671,0.9583857298830898,48.2,5.325
W6_mutation_corridor,adversarial_pressure,0.8,adversarial_pressure=0.80,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.5485407947014614,0.033358409315012605,0.0,0.0
W6_mutation_corridor,adversarial_pressure,0.8,adversarial_pressure=0.80,C_dyn_only,80,1.0,0.954180263735425,1.0,True,0.3413833891596745,0.963857169811526,58.675,4.375
W6_mutation_corridor,adversarial_pressure,0.8,adversarial_pressure=0.80,C_full,80,1.0,0.954180263735425,1.0,True,0.3417298708047022,0.964051250745238,60.2125,5.725
W6_mutation_corridor,adversarial_pressure,1.0,adversarial_pressure=1.00,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.7001583626085968,0.014017872285358262,0.0,0.0
W6_mutation_corridor,adversarial_pressure,1.0,adversarial_pressure=1.00,C_dyn_only,80,1.0,0.954180263735425,1.0,True,0.4043051956713374,0.9546786590323233,83.6,7.1
W6_mutation_corridor,adversarial_pressure,1.0,adversarial_pressure=1.00,C_full,80,1.0,0.954180263735425,1.0,True,0.40847923911861084,0.9511896399376545,83.2,6.9875
W6_mutation_corridor,adversarial_pressure,1.2,adversarial_pressure=1.20,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.6914126825302691,0.009810466392667038,0.0,0.0
W6_mutation_corridor,adversarial_pressure,1.2,adversarial_pressure=1.20,C_dyn_only,80,0.6875,0.5793201821792608,0.7784974167215235,True,0.48131110427500906,0.9407692745364058,112.35,9.7125
W6_mutation_corridor,adversarial_pressure,1.2,adversarial_pressure=1.20,C_full,80,0.7,0.5923163971203269,0.789355708373843,True,0.48277912431507986,0.9425679029232136,113.2375,10.075
W6_mutation_corridor,adversarial_pressure,1.4,adversarial_pressure=1.40,C_dyn_no_consequence,80,0.0,0.0,0.0458197362645751,False,0.6636547161198767,0.007207905629717836,0.0,0.0
W6_mutation_corridor,adversarial_pressure,1.4,adversarial_pressure=1.40,C_dyn_only,80,0.2375,0.15764551183088749,0.3414098497080144,False,0.5380483740033026,0.9371948027231678,136.325,11.975
